coord,weather,base,main,wind,rain,clouds,dt,sys,timezone,id,name,cod
"{'lon': 113.61, 'lat': -8.35}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",model,"{'temp': 77.92, 'pressure': 1011, 'humidity': 86, 'temp_min': 77.92, 'temp_max': 77.92, 'sea_level': 1011, 'grnd_level': 1011}","{'speed': 7.92, 'deg': 96}",,{'all': 44},1571760375,"{'country': 'ID', 'sunrise': 1571695207, 'sunset': 1571739590}",25200,1621313,Ambulu,200
"{'lon': 141.51, 'lat': 52.23}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",model,"{'temp': 41.88, 'pressure': 1013, 'humidity': 68, 'temp_min': 41.88, 'temp_max': 41.88, 'sea_level': 1013, 'grnd_level': 1011}","{'speed': 12.48, 'deg': 234}",,{'all': 40},1571760377,"{'country': 'RU', 'sunrise': 1571778693, 'sunset': 1571815496}",36000,2123836,Lazarev,200
"{'lon': 9.75, 'lat': 10.31}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",model,"{'temp': 90.5, 'pressure': 1005, 'humidity': 38, 'temp_min': 90.5, 'temp_max': 90.5, 'sea_level': 1005, 'grnd_level': 944}","{'speed': 8.46, 'deg': 60}",,{'all': 100},1571760377,"{'country': 'NG', 'sunrise': 1571721000, 'sunset': 1571763645}",3600,2347470,Miri,200
"{'lon': 130.28, 'lat': 50.29}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",model,"{'temp': 30.65, 'pressure': 1022, 'humidity': 78, 'temp_min': 30.65, 'temp_max': 30.65, 'sea_level': 1022, 'grnd_level': 981}","{'speed': 3.02, 'deg': 308}",,{'all': 28},1571760378,"{'country': 'RU', 'sunrise': 1571781165, 'sunset': 1571818414}",32400,2015686,Talakan,200
"{'lon': 132.75, 'lat': -5.67}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",model,"{'temp': 78.76, 'pressure': 1009, 'humidity': 81, 'temp_min': 78.76, 'temp_max': 78.76, 'sea_level': 1009, 'grnd_level': 1005}","{'speed': 9.82, 'deg': 124}",,{'all': 71},1571760379,"{'country': 'ID', 'sunrise': 1571777123, 'sunset': 1571821271}",32400,1623197,Tual,200
"{'lon': 131.15, 'lat': 46.64}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,"{'temp': 42.01, 'pressure': 1021, 'humidity': 45, 'temp_min': 42.01, 'temp_max': 42.01, 'sea_level': 1021, 'grnd_level': 977}","{'speed': 0.94, 'deg': 272}",,{'all': 0},1571760381,"{'country': 'CN', 'sunrise': 1571780576, 'sunset': 1571818585}",28800,2034786,Shuangyashan,200
"{'lon': 77.58, 'lat': 34.16}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",model,"{'temp': 32.38, 'pressure': 1021, 'humidity': 23, 'temp_min': 32.38, 'temp_max': 32.38, 'sea_level': 1021, 'grnd_level': 601}","{'speed': 4.36, 'deg': 271}",,{'all': 61},1571760381,"{'country': 'IN', 'sunrise': 1571705995, 'sunset': 1571746095}",19800,1264976,Leh,200
"{'lon': 103.75, 'lat': 57.27}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",model,"{'temp': 18.73, 'pressure': 1032, 'humidity': 90, 'temp_min': 18.73, 'temp_max': 18.73, 'sea_level': 1032, 'grnd_level': 978}","{'speed': 4.59, 'deg': 203}",,{'all': 99},1571760382,"{'country': 'RU', 'sunrise': 1571788469, 'sunset': 1571823843}",28800,2017378,Rudnogorsk,200
"{'lon': 71.18, 'lat': 23.02}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",model,"{'temp': 83.8, 'pressure': 1009, 'humidity': 42, 'temp_min': 83.8, 'temp_max': 83.8, 'sea_level': 1009, 'grnd_level': 1005}","{'speed': 6.11, 'deg': 50}",,{'all': 100},1571760384,"{'country': 'IN', 'sunrise': 1571706884, 'sunset': 1571748278}",19800,1270466,Halvad,200
"{'lon': 140.86, 'lat': 37.52}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 57.61, 'pressure': 1019, 'humidity': 94, 'temp_min': 54, 'temp_max': 62.01}","{'speed': 1.01, 'deg': 311, 'gust': 4}",{'3h': 1.06},{'all': 100},1571760384,"{'type': 3, 'id': 2012425, 'country': 'JP', 'sunrise': 1571777484, 'sunset': 1571817018}",32400,2111704,Namie,200
"{'lon': 94.73, 'lat': 16.78}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",model,"{'temp': 81.55, 'pressure': 1009, 'humidity': 78, 'temp_min': 81.55, 'temp_max': 81.55, 'sea_level': 1009, 'grnd_level': 1006}","{'speed': 7.02, 'deg': 314}",,{'all': 36},1571760220,"{'country': 'MM', 'sunrise': 1571700913, 'sunset': 1571742946}",23400,1328421,Pathein,200
"{'lon': 176.59, 'lat': -39.94}","[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",stations,"{'temp': 43, 'pressure': 992, 'humidity': 90, 'temp_min': 43, 'temp_max': 43}","{'speed': 1.99, 'deg': 270, 'gust': 3}",{'3h': 4.44},{'all': 94},1571760385,"{'type': 3, 'id': 2010964, 'country': 'NZ', 'sunrise': 1571764532, 'sunset': 1571812820}",46800,2185329,Waipawa,200
